A1CF	85
A2M	1297
A4GNT	145
AAAS	2863
AACS	2391
AADAC	5
AADAT	630
AAGAB	1875
AAK1	4660
AAMDC	1036
AANAT	96
AAR2	955
AARS1	4306
AARS2	1243
AASDH	1279
AASDHPPT	1510
AASS	33
AATF	1653
AATK	285
ABAT	1676
ABCA1	4595
ABCA12	443
ABCA13	407
ABCA2	2552
ABCA3	2164
ABCA4	35
ABCA5	2881
ABCA7	363
ABCB1	198
ABCB10	426
ABCB11	54
ABCB5	140
ABCB6	456
ABCB7	3729
ABCB8	1307
ABCB9	732
ABCC10	1213
ABCC2	139
ABCC3	977
ABCC4	1394
ABCC5	5501
ABCC8	310
ABCC9	1786
ABCD2	1039
ABCD3	1738
ABCD4	1515
ABCE1	5535
ABCF1	3188
ABCF2	3993
ABCF3	2567
ABCG1	713
ABCG2	33
ABCG4	33
ABCG5	8
ABCG8	7
ABHD10	1312
ABHD12	2308
ABHD12B	531
ABHD13	1383
ABHD14A	710
ABHD14B	1106
ABHD15	407
ABHD17A	5248
ABHD17B	744
ABHD17C	2219
ABHD18	733
ABHD2	9165
ABHD3	1053
ABHD5	315
ABHD6	3822
ABHD8	38
ABI1	7161
ABI2	6517
ABI3	15
ABITRAM	827
ABL1	2081
ABL2	973
ABLIM1	5543
ABLIM2	274
ABLIM3	281
ABR	3181
ABRA	7
ABRACL	951
ABRAXAS1	1865
ABRAXAS2	1765
ABT1	727
ABTB1	1979
ABTB2	2208
ACAA1	1711
ACAA2	3041
ACACA	942
ACACB	2051
ACAD10	229
ACAD11	1695
ACAD8	442
ACAD9	4921
ACADL	4757
ACADM	3340
ACADS	1290
ACADSB	993
ACADVL	820
ACAN	90
ACAP1	648
ACAP2	2584
ACAP3	421
ACAT1	2104
ACAT2	1037
ACBD3	4250
ACBD4	251
ACBD5	1784
ACBD6	1607
ACBD7	604
ACCS	472
ACE	383
ACE2	130
ACER1	20
ACER2	33
ACER3	1112
ACHE	63
ACIN1	2611
ACKR2	72
ACKR3	1466
ACKR4	478
ACLY	7666
ACMSD	22
ACO1	2934
ACO2	13404
ACOD1	221
ACOT11	1086
ACOT12	43
ACOT13	1796
ACOT7	2126
ACOT8	666
ACOT9	1549
ACOX1	5193
ACOX2	1072
ACOX3	1661
ACP1	3741
ACP2	2089
ACP5	3167
ACP6	885
ACSBG1	1842
ACSBG2	1886
ACSF2	2537
ACSF3	1273
ACSL1	5284
ACSL3	1179
ACSL4	3624
ACSL5	93
ACSL6	471
ACSS1	668
ACSS2	2763
ACSS3	1760
ACTA1	3449
ACTA2	28456
ACTB	195996
ACTC1	958
ACTG1	37245
ACTG2	10719
ACTL10	0
ACTL6A	2117
ACTL6B	147
ACTN1	11102
ACTN2	110
ACTN4	5871
ACTR10	3607
ACTR1A	5479
ACTR2	5020
ACTR3	10147
ACTR3B	906
ACTR5	1526
ACTR6	3294
ACTR8	1296
ACVR1	1845
ACVR1B	885
ACVR1C	23
ACVR2A	1425
ACVR2B	88
ACVRL1	565
ACYP1	838
ACYP2	1472
ADA	875
ADA2	600
ADAD1	692
ADAL	939
ADAM10	2347
ADAM11	282
ADAM12	560
ADAM15	1010
ADAM17	3604
ADAM19	1107
ADAM22	135
ADAM23	1711
ADAM28	71
ADAM33	2198
ADAM8	568
ADAM9	3476
ADAMTS1	1113
ADAMTS10	2370
ADAMTS12	1193
ADAMTS13	1821
ADAMTS14	3533
ADAMTS15	1150
ADAMTS17	425
ADAMTS18	1262
ADAMTS19	181
ADAMTS2	2455
ADAMTS20	186
ADAMTS3	1480
ADAMTS5	1144
ADAMTS6	253
ADAMTS7	853
ADAMTS8	224
ADAMTS9	3240
ADAMTSL1	151
ADAMTSL2	188
ADAMTSL3	535
ADAMTSL5	597
ADAP1	424
ADAP2	131
ADAR	3026
ADARB1	1069
ADARB2	280
ADAT1	719
ADAT2	961
ADCK1	512
ADCK2	1170
ADCY1	310
ADCY2	324
ADCY3	425
ADCY5	1290
ADCY6	2323
ADCY7	972
ADCY8	59
ADCY9	2403
ADCYAP1	105
ADCYAP1R1	184
ADD1	5958
ADD2	475
ADD3	1922
ADGB	877
ADGRA1	208
ADGRA2	1488
ADGRA3	2529
ADGRB1	243
ADGRB2	20
ADGRB3	830
ADGRD1	1528
ADGRD2	29
ADGRF4	36
ADGRF5	327
ADGRG1	6014
ADGRG2	346
ADGRG3	238
ADGRG4	864
ADGRG6	822
ADGRL2	1932
ADGRL3	8863
ADGRL4	884
ADGRV1	347
ADHFE1	557
ADI1	3185
ADIG	445
ADIPOQ	3194
ADIPOR1	4453
ADIPOR2	4571
ADK	2582
ADM	823
ADM2	353
ADNP2	817
ADO	327
ADORA1	34
ADORA2A	253
ADORA2B	213
ADPGK	3545
ADPRH	3423
ADPRHL1	58
ADPRM	487
ADPRS	872
ADRA1A	7
ADRA1B	87
ADRA1D	63
ADRA2A	529
ADRA2C	1289
ADRB1	136
ADRB2	54
ADRB3	36
ADRM1	6469
ADSL	1558
ADSS1	2712
ADSS2	1954
AEBP1	4471
AEBP2	674
AEN	948
AFAP1	2351
AFAP1L1	455
AFAP1L2	1882
AFDN	7371
AFF1	1996
AFF2	511
AFF3	362
AFF4	2518
AFG1L	382
AFG3L2	3799
AFMID	463
AFTPH	1216
AGA	1889
AGAP1	3175
AGAP2	82
AGAP3	1358
AGBL1	382
AGBL2	22
AGBL5	2288
AGFG1	5812
AGGF1	1234
AGK	1743
AGL	822
AGMAT	74
AGMO	363
AGO2	1002
AGO3	4339
AGPAT1	324
AGPAT2	1088
AGPAT3	3218
AGPAT4	1119
AGPAT5	2056
AGPS	3579
AGR2	6173
AGR3	146
AGRN	6787
AGT	21
AGTPBP1	1033
AGTR1	398
AGTR2	181
AGXT	22
AGXT2	207
AHCY	4225
AHCYL1	911
AHCYL2	1391
AHDC1	2108
AHI1	823
AHNAK	1319
AHNAK2	3413
AHR	868
AHRR	9
AHSA1	8743
AHSA2P	3600
AHSG	530
AICDA	4
AIDA	5501
AIF1L	1975
AIFM1	2023
AIFM2	1285
AIFM3	766
AIG1	1207
AIMP1	1679
AIMP2	6585
AJAP1	257
AJM1	2515
AK1	2623
AK2	13895
AK3	1007
AK4	1119
AK5	326
AK6	373
AK7	332
AK8	209
AK9	495
AKAIN1	17
AKAP1	16932
AKAP10	2989
AKAP11	1423
AKAP12	17575
AKAP13	2122
AKAP14	153
AKAP17A	1657
AKAP5	59
AKAP6	631
AKAP7	592
AKAP8	1414
AKAP8L	390
