A1CF	37
A2M	773
A4GNT	20
AAAS	4543
AACS	958
AADAC	104
AADAT	147
AAGAB	834
AAK1	2163
AAMDC	1043
AANAT	225
AAR2	590
AARS1	2846
AARS2	461
AASDH	361
AASDHPPT	867
AASS	81
AATF	1475
AATK	322
ABAT	514
ABCA1	846
ABCA12	269
ABCA13	45
ABCA2	2065
ABCA3	948
ABCA4	224
ABCA5	1061
ABCA7	279
ABCB1	196
ABCB10	346
ABCB11	560
ABCB5	99
ABCB6	767
ABCB7	2134
ABCB8	437
ABCB9	1050
ABCC10	1085
ABCC2	58
ABCC3	117
ABCC4	239
ABCC5	1322
ABCC8	111
ABCC9	546
ABCD2	683
ABCD3	1142
ABCD4	1157
ABCE1	2686
ABCF1	6136
ABCF2	8671
ABCF3	2796
ABCG1	130
ABCG2	25
ABCG4	17
ABCG5	405
ABCG8	100
ABHD10	530
ABHD12	325
ABHD12B	1491
ABHD13	430
ABHD14A	2020
ABHD14B	935
ABHD15	302
ABHD17A	7359
ABHD17B	729
ABHD17C	359
ABHD18	238
ABHD2	968
ABHD3	87
ABHD5	240
ABHD6	290
ABHD8	308
ABI1	1088
ABI2	3490
ABI3	20
ABITRAM	512
ABL1	2585
ABL2	797
ABLIM1	3719
ABLIM2	293
ABLIM3	176
ABR	1694
ABRA	202
ABRACL	120
ABRAXAS1	538
ABRAXAS2	466
ABT1	325
ABTB1	1304
ABTB2	1830
ACAA1	488
ACAA2	1928
ACACA	813
ACACB	1023
ACAD10	830
ACAD11	543
ACAD8	98
ACAD9	1173
ACADL	1218
ACADM	1749
ACADS	607
ACADSB	328
ACADVL	3034
ACAN	32
ACAP1	554
ACAP2	2872
ACAP3	373
ACAT1	283
ACAT2	303
ACBD3	986
ACBD4	403
ACBD5	744
ACBD6	796
ACBD7	692
ACCS	995
ACE	86
ACE2	8
ACER1	289
ACER2	94
ACER3	2463
ACHE	8
ACIN1	7039
ACKR2	93
ACKR3	497
ACKR4	69
ACLY	3736
ACMSD	56
ACO1	8400
ACO2	4400
ACOD1	146
ACOT11	280
ACOT12	804
ACOT13	355
ACOT7	6405
ACOT8	479
ACOT9	755
ACOX1	1060
ACOX2	422
ACOX3	1657
ACP1	1185
ACP2	1598
ACP5	47
ACP6	904
ACSBG1	879
ACSBG2	2401
ACSF2	176
ACSF3	508
ACSL1	899
ACSL3	242
ACSL4	644
ACSL5	19
ACSL6	131
ACSS1	153
ACSS2	2799
ACSS3	653
ACTA1	233
ACTA2	3776
ACTB	22712
ACTC1	31
ACTG1	30772
ACTG2	766
ACTL10	1166
ACTL6A	881
ACTL6B	1222
ACTN1	7152
ACTN2	121
ACTN4	2509
ACTR10	5754
ACTR1A	4668
ACTR2	3579
ACTR3	790
ACTR3B	2124
ACTR5	974
ACTR6	1306
ACTR8	837
ACVR1	858
ACVR1B	1111
ACVR1C	59
ACVR2A	621
ACVR2B	67
ACVRL1	234
ACYP1	1905
ACYP2	819
ADA	81
ADA2	77
ADAD1	3356
ADAL	141
ADAM10	1160
ADAM11	67
ADAM12	286
ADAM15	374
ADAM17	1170
ADAM19	39
ADAM22	58
ADAM23	3050
ADAM28	566
ADAM33	381
ADAM8	6
ADAM9	1516
ADAMTS1	277
ADAMTS10	426
ADAMTS12	48
ADAMTS13	725
ADAMTS14	317
ADAMTS15	7
ADAMTS17	540
ADAMTS18	175
ADAMTS19	16
ADAMTS2	574
ADAMTS20	26
ADAMTS3	1830
ADAMTS5	209
ADAMTS6	151
ADAMTS7	228
ADAMTS8	104
ADAMTS9	917
ADAMTSL1	95
ADAMTSL2	109
ADAMTSL3	246
ADAMTSL5	47
ADAP1	155
ADAP2	1324
ADAR	2338
ADARB1	1048
ADARB2	481
ADAT1	410
ADAT2	508
ADCK1	494
ADCK2	253
ADCY1	262
ADCY2	161
ADCY3	233
ADCY5	628
ADCY6	1089
ADCY7	389
ADCY8	69
ADCY9	1838
ADCYAP1	87
ADCYAP1R1	18
ADD1	5086
ADD2	50
ADD3	3433
ADGB	779
ADGRA1	164
ADGRA2	178
ADGRA3	652
ADGRB1	280
ADGRB2	44
ADGRB3	305
ADGRD1	538
ADGRD2	134
ADGRF4	29
ADGRF5	56
ADGRG1	623
ADGRG2	1361
ADGRG3	37
ADGRG4	201
ADGRG6	182
ADGRL2	455
ADGRL3	10754
ADGRL4	107
ADGRV1	52
ADHFE1	111
ADI1	1813
ADIG	5
ADIPOQ	201
ADIPOR1	4885
ADIPOR2	2735
ADK	1764
ADM	180
ADM2	23
ADNP2	2099
ADO	184
ADORA1	43
ADORA2A	421
ADORA2B	231
ADPGK	1807
ADPRH	1007
ADPRHL1	27
ADPRM	417
ADPRS	336
ADRA1A	310
ADRA1B	179
ADRA1D	15
ADRA2A	25
ADRA2C	603
ADRB1	19
ADRB2	78
ADRB3	0
ADRM1	4626
ADSL	628
ADSS1	1552
ADSS2	2061
AEBP1	756
AEBP2	788
AEN	201
AFAP1	667
AFAP1L1	205
AFAP1L2	580
AFDN	7801
AFF1	806
AFF2	342
AFF3	462
AFF4	640
AFG1L	687
AFG3L2	1803
AFMID	148
AFTPH	1239
AGA	773
AGAP1	2842
AGAP2	52
AGAP3	1513
AGBL1	138
AGBL2	735
AGBL5	9611
AGFG1	1417
AGGF1	1654
AGK	931
AGL	527
AGMAT	55
AGMO	155
AGO2	539
AGO3	1272
AGPAT1	501
AGPAT2	1588
AGPAT3	939
AGPAT4	522
AGPAT5	355
AGPS	1672
AGR2	62
AGR3	0
AGRN	1744
AGT	3
AGTPBP1	3207
AGTR1	23
AGTR2	16
AGXT	61
AGXT2	88
AHCY	1248
AHCYL1	882
AHCYL2	5826
AHDC1	438
AHI1	967
AHNAK	792
AHNAK2	422
AHR	189
AHRR	51
AHSA1	10083
AHSA2P	1440
AHSG	927
AICDA	1
AIDA	1094
AIF1L	7047
AIFM1	2557
AIFM2	507
AIFM3	367
AIG1	1100
AIMP1	2457
AIMP2	5483
AJAP1	359
AJM1	4069
AK1	1024
AK2	3045
AK3	114
AK4	147
AK5	40
AK6	440
AK7	8541
AK8	4846
AK9	2538
AKAIN1	28
AKAP1	1335
AKAP10	1537
AKAP11	823
AKAP12	6872
AKAP13	5683
AKAP14	3415
AKAP17A	485
AKAP5	335
AKAP6	319
AKAP7	1609
AKAP8	884
AKAP8L	1105
AKAP9	1024
AKIP1	135
AKIRIN2	8843
AKNA	304
AKNAD1	450
AKR1A1	1173
AKR1D1	19
AKR7A2	3606
AKT1	1391
AKT3	406
ALAD	681
ALAS1	1304
ALCAM	225
ALDH16A1	865
ALDH18A1	731
ALDH1A1	3
ALDH1A2	524
ALDH1A3	825
ALDH1L2	247
ALDH2	4032
ALDH3A2	146
ALDH4A1	561
ALDH5A1	474
ALDH6A1	775
ALDH7A1	95
ALDH8A1	57
ALDH9A1	1791
ALDOB	347
ALDOC	3487
ALG1	389
ALG11	284
ALG12	1371
ALG14	431
ALG2	292
ALG3	1012
ALG5	357
ALG6	1507
ALG8	1584
ALG9	1113
ALK	126
ALKAL1	19
ALKAL2	157
ALKBH1	2480
ALKBH2	238
ALKBH3	1220
ALKBH4	896
ALKBH5	17166
ALKBH7	3123
ALKBH8	511
ALMS1	1421
ALOX5	221
ALPK1	143
ALPK2	1735
ALPK3	2547
ALPL	1162
ALS2	3112
