A1CF	106
A2M	1854
A4GNT	154
AAAS	2224
AACS	1580
AADAC	26
AADAT	406
AAGAB	1050
AAK1	4740
AAMDC	684
AANAT	35
AAR2	527
AARS1	2449
AARS2	824
AASDH	740
AASDHPPT	1179
AASS	219
AATF	1268
AATK	254
ABAT	1621
ABCA1	2459
ABCA12	340
ABCA13	597
ABCA2	2093
ABCA3	1813
ABCA4	78
ABCA5	3050
ABCA7	461
ABCB1	221
ABCB10	318
ABCB11	177
ABCB5	613
ABCB6	453
ABCB7	2721
ABCB8	961
ABCB9	833
ABCC10	1244
ABCC2	115
ABCC3	705
ABCC4	1029
ABCC5	3242
ABCC8	384
ABCC9	1135
ABCD2	935
ABCD3	1364
ABCD4	1073
ABCE1	4302
ABCF1	1936
ABCF2	2853
ABCF3	2006
ABCG1	583
ABCG2	52
ABCG4	24
ABCG5	5
ABCG8	6
ABHD10	822
ABHD12	1631
ABHD12B	461
ABHD13	1026
ABHD14A	584
ABHD14B	868
ABHD15	396
ABHD17A	3261
ABHD17B	659
ABHD17C	1882
ABHD18	797
ABHD2	5511
ABHD3	640
ABHD5	188
ABHD6	2730
ABHD8	42
ABI1	5653
ABI2	4980
ABI3	46
ABITRAM	462
ABL1	2040
ABL2	901
ABLIM1	4144
ABLIM2	261
ABLIM3	266
ABR	3362
ABRA	14
ABRACL	497
ABRAXAS1	1455
ABRAXAS2	1364
ABT1	482
ABTB1	1707
ABTB2	2722
ACAA1	1015
ACAA2	2419
ACACA	1236
ACACB	1702
ACAD10	64
ACAD11	1089
ACAD8	542
ACAD9	2545
ACADL	3175
ACADM	1730
ACADS	998
ACADSB	654
ACADVL	560
ACAN	121
ACAP1	559
ACAP2	1819
ACAP3	235
ACAT1	1519
ACAT2	1094
ACBD3	3681
ACBD4	200
ACBD5	1304
ACBD6	1229
ACBD7	506
ACCS	465
ACE	278
ACE2	81
ACER1	38
ACER2	37
ACER3	1017
ACHE	84
ACIN1	1998
ACKR2	142
ACKR3	709
ACKR4	320
ACLY	6267
ACMSD	56
ACO1	1947
ACO2	6691
ACOD1	1930
ACOT11	838
ACOT12	36
ACOT13	790
ACOT7	1489
ACOT8	531
ACOT9	1417
ACOX1	2464
ACOX2	658
ACOX3	1271
ACP1	2397
ACP2	1531
ACP5	3450
ACP6	563
ACSBG1	1081
ACSBG2	1699
ACSF2	2410
ACSF3	1384
ACSL1	3884
ACSL3	901
ACSL4	4685
ACSL5	148
ACSL6	649
ACSS1	730
ACSS2	1498
ACSS3	1178
ACTA1	582
ACTA2	5049
ACTB	138923
ACTC1	72
ACTG1	27230
ACTG2	1049
ACTL10	1
ACTL6A	1419
ACTL6B	214
ACTN1	3968
ACTN2	140
ACTN4	4097
ACTR10	2092
ACTR1A	3691
ACTR2	3609
ACTR3	6162
ACTR3B	841
ACTR5	790
ACTR6	2717
ACTR8	875
ACVR1	1030
ACVR1B	705
ACVR1C	12
ACVR2A	1734
