A1CF	31
A2M	334
A4GNT	11
AAAS	3096
AACS	708
AADAC	94
AADAT	162
AAGAB	871
AAK1	2595
AAMDC	886
AANAT	249
AAR2	397
AARS1	1976
AARS2	556
AASDH	481
AASDHPPT	638
AASS	76
AATF	1725
AATK	435
ABAT	385
ABCA1	940
ABCA12	285
ABCA13	52
ABCA2	2768
ABCA3	806
ABCA4	213
ABCA5	856
ABCA7	464
ABCB1	353
ABCB10	300
ABCB11	843
ABCB5	162
ABCB6	643
ABCB7	1737
ABCB8	364
ABCB9	2924
ABCC10	1017
ABCC2	165
ABCC3	49
ABCC4	384
ABCC5	1558
ABCC8	152
ABCC9	243
ABCD2	721
ABCD3	1020
ABCD4	952
ABCE1	2395
ABCF1	4824
ABCF2	6973
ABCF3	1904
ABCG1	102
ABCG2	22
ABCG4	45
ABCG5	244
ABCG8	68
ABHD10	456
ABHD12	315
ABHD12B	891
ABHD13	560
ABHD14A	1684
ABHD14B	800
ABHD15	218
ABHD17A	6352
ABHD17B	579
ABHD17C	342
ABHD18	286
ABHD2	958
ABHD3	72
ABHD5	234
ABHD6	186
ABHD8	228
ABI1	1039
ABI2	3818
ABI3	32
ABITRAM	476
ABL1	2403
ABL2	1051
ABLIM1	3187
ABLIM2	391
ABLIM3	161
ABR	1805
ABRA	206
ABRACL	131
ABRAXAS1	558
ABRAXAS2	382
ABT1	190
ABTB1	1234
ABTB2	1425
ACAA1	385
ACAA2	1320
ACACA	1118
ACACB	1276
ACAD10	916
ACAD11	574
ACAD8	56
ACAD9	1114
ACADL	1223
ACADM	1679
ACADS	757
ACADSB	415
ACADVL	3097
ACAN	37
ACAP1	653
ACAP2	1934
ACAP3	299
ACAT1	170
ACAT2	161
ACBD3	740
ACBD4	438
ACBD5	738
ACBD6	778
ACBD7	432
ACCS	1084
ACE	48
ACE2	21
ACER1	219
ACER2	110
ACER3	2352
ACHE	11
ACIN1	4994
ACKR2	83
ACKR3	444
ACKR4	30
ACLY	2938
ACMSD	96
ACO1	7843
ACO2	3725
ACOD1	7
ACOT11	267
ACOT12	1242
ACOT13	294
ACOT7	4718
ACOT8	605
ACOT9	779
ACOX1	921
ACOX2	363
ACOX3	829
ACP1	1012
ACP2	1822
ACP5	51
ACP6	427
ACSBG1	865
ACSBG2	2308
ACSF2	185
ACSF3	408
ACSL1	920
ACSL3	331
ACSL4	909
ACSL5	37
ACSL6	506
ACSS1	128
ACSS2	3117
ACSS3	855
ACTA1	139
ACTA2	1894
ACTB	16065
ACTC1	44
ACTG1	24993
ACTG2	283
ACTL10	1338
ACTL6A	865
ACTL6B	1140
ACTN1	7295
ACTN2	108
ACTN4	2199
ACTR10	4946
ACTR1A	4104
ACTR2	3911
ACTR3	611
ACTR3B	2056
ACTR5	1081
ACTR6	1114
ACTR8	761
ACVR1	751
ACVR1B	743
ACVR1C	52
ACVR2A	678
ACVR2B	59
ACVRL1	100
ACYP1	1138
ACYP2	710
ADA	83
ADA2	56
ADAD1	2352
ADAL	135
ADAM10	1117
ADAM11	110
ADAM12	196
ADAM15	286
ADAM17	878
ADAM19	31
ADAM22	26
ADAM23	3117
ADAM28	469
ADAM33	275
ADAM8	11
ADAM9	1799
ADAMTS1	259
ADAMTS10	340
ADAMTS12	50
ADAMTS13	1023
ADAMTS14	200
ADAMTS15	4
ADAMTS17	471
ADAMTS18	63
ADAMTS19	12
ADAMTS2	564
ADAMTS20	53
ADAMTS3	2277
ADAMTS5	167
ADAMTS6	181
ADAMTS7	268
ADAMTS8	63
ADAMTS9	954
ADAMTSL1	153
ADAMTSL2	102
ADAMTSL3	319
ADAMTSL5	56
ADAP1	148
ADAP2	1293
ADAR	2975
ADARB1	807
ADARB2	275
ADAT1	475
ADAT2	495
ADCK1	648
ADCK2	196
ADCY1	318
ADCY2	189
ADCY3	150
ADCY5	517
ADCY6	2761
ADCY7	285
ADCY8	51
ADCY9	1716
ADCYAP1	59
ADCYAP1R1	18
ADD1	5777
ADD2	39
ADD3	2973
ADGB	1398
ADGRA1	209
ADGRA2	182
ADGRA3	662
ADGRB1	313
ADGRB2	38
ADGRB3	228
ADGRD1	445
ADGRD2	56
ADGRF4	26
ADGRF5	83
ADGRG1	182
ADGRG2	1644
ADGRG3	10
ADGRG4	249
ADGRG6	183
ADGRL2	664
ADGRL3	8980
ADGRL4	164
ADGRV1	103
ADHFE1	146
ADI1	1071
ADIG	7
ADIPOQ	193
ADIPOR1	4928
ADIPOR2	2901
ADK	2215
ADM	72
ADM2	12
ADNP2	2103
ADO	220
ADORA1	52
ADORA2A	489
ADORA2B	374
