A1CF	47
A2M	482
A4GNT	34
AAAS	2165
AACS	738
AADAC	64
AADAT	88
AAGAB	497
AAK1	1343
AAMDC	699
AANAT	86
AAR2	227
AARS1	1298
AARS2	290
AASDH	251
AASDHPPT	304
AASS	51
AATF	1013
AATK	229
ABAT	343
ABCA1	470
ABCA12	176
ABCA13	37
ABCA2	955
ABCA3	322
ABCA4	108
ABCA5	480
ABCA7	124
ABCB1	109
ABCB10	180
ABCB11	444
ABCB5	99
ABCB6	452
ABCB7	1293
ABCB8	315
ABCB9	620
ABCC10	397
ABCC2	61
ABCC3	79
ABCC4	138
ABCC5	850
ABCC8	105
ABCC9	375
ABCD2	565
ABCD3	621
ABCD4	515
ABCE1	1606
ABCF1	3685
ABCF2	5171
ABCF3	1332
ABCG1	72
ABCG2	7
ABCG4	16
ABCG5	165
ABCG8	94
ABHD10	315
ABHD12	206
ABHD12B	636
ABHD13	401
ABHD14A	1750
ABHD14B	871
ABHD15	221
ABHD17A	7853
ABHD17B	418
ABHD17C	204
ABHD18	171
ABHD2	633
ABHD3	74
ABHD5	106
ABHD6	259
ABHD8	156
ABI1	914
ABI2	2184
ABI3	42
ABITRAM	456
ABL1	1160
ABL2	427
ABLIM1	1190
ABLIM2	145
ABLIM3	241
ABR	903
ABRA	120
ABRACL	153
ABRAXAS1	499
ABRAXAS2	235
ABT1	174
ABTB1	841
ABTB2	706
ACAA1	435
ACAA2	1050
ACACA	604
ACACB	408
ACAD10	498
ACAD11	451
ACAD8	116
ACAD9	1031
ACADL	980
ACADM	1361
ACADS	501
ACADSB	166
ACADVL	903
ACAN	15
ACAP1	234
ACAP2	1123
ACAP3	167
ACAT1	260
ACAT2	543
ACBD3	479
ACBD4	443
ACBD5	376
ACBD6	428
ACBD7	350
ACCS	806
ACE	42
ACE2	9
ACER1	186
ACER2	38
ACER3	1650
ACHE	10
ACIN1	3437
ACKR2	66
ACKR3	384
ACKR4	94
ACLY	2691
ACMSD	51
ACO1	5064
ACO2	2427
ACOD1	87
ACOT11	149
ACOT12	593
ACOT13	272
ACOT7	4104
ACOT8	419
ACOT9	324
ACOX1	608
ACOX2	268
ACOX3	520
ACP1	1000
ACP2	1714
ACP5	48
ACP6	367
ACSBG1	562
ACSBG2	1767
ACSF2	194
ACSF3	222
ACSL1	678
ACSL3	267
ACSL4	438
ACSL5	163
ACSL6	201
ACSS1	151
ACSS2	1880
ACSS3	451
ACTA1	263
ACTA2	2700
ACTB	16085
ACTC1	75
ACTG1	15907
ACTG2	532
ACTL10	546
ACTL6A	677
ACTL6B	818
ACTN1	3824
ACTN2	94
ACTN4	822
ACTR10	3839
ACTR1A	3252
ACTR2	2478
ACTR3	554
ACTR3B	1561
ACTR5	561
ACTR6	746
ACTR8	543
ACVR1	496
ACVR1B	469
ACVR1C	22
ACVR2A	350
ACVR2B	43
ACVRL1	106
ACYP1	1140
ACYP2	538
ADA	55
ADA2	109
ADAD1	1419
ADAL	96
ADAM10	572
ADAM11	33
ADAM12	94
ADAM15	173
ADAM17	457
ADAM19	29
ADAM22	45
ADAM23	1412
ADAM28	214
ADAM33	197
ADAM8	12
ADAM9	527
ADAMTS1	179
ADAMTS10	226
ADAMTS12	40
ADAMTS13	553
ADAMTS14	185
ADAMTS15	8
ADAMTS17	367
ADAMTS18	98
ADAMTS19	4
ADAMTS2	200
ADAMTS20	16
ADAMTS3	750
ADAMTS5	159
ADAMTS6	81
ADAMTS7	145
ADAMTS8	71
ADAMTS9	469
ADAMTSL1	93
ADAMTSL2	92
ADAMTSL3	107
ADAMTSL5	46
ADAP1	92
ADAP2	759
ADAR	1505
ADARB1	403
ADARB2	254
ADAT1	290
ADAT2	237
ADCK1	284
ADCK2	186
ADCY1	169
ADCY2	112
ADCY3	113
ADCY5	357
ADCY6	972
ADCY7	225
ADCY8	37
ADCY9	839
ADCYAP1	66
ADCYAP1R1	16
ADD1	3017
ADD2	82
ADD3	1449
ADGB	864
ADGRA1	102
ADGRA2	148
ADGRA3	389
ADGRB1	261
ADGRB2	41
ADGRB3	211
ADGRD1	230
ADGRD2	75
ADGRF4	9
ADGRF5	67
ADGRG1	120
ADGRG2	815
ADGRG3	6
ADGRG4	87
ADGRG6	120
ADGRL2	433
ADGRL3	5432
ADGRL4	133
ADGRV1	37
ADHFE1	78
ADI1	1587
ADIG	2
ADIPOQ	186
ADIPOR1	3689
ADIPOR2	2075
ADK	1764
ADM	64
ADM2	2
ADNP2	1107
ADO	116
ADORA1	22
ADORA2A	186
ADORA2B	138
ADPGK	1064
ADPRH	714
ADPRHL1	27
ADPRM	272
ADPRS	214
ADRA1A	247
ADRA1B	89
ADRA1D	18
ADRA2A	10
ADRA2C	483
ADRB1	23
ADRB2	30
ADRB3	1
ADRM1	2717
ADSL	454
ADSS1	569
ADSS2	1187
AEBP1	468
AEBP2	454
AEN	114
AFAP1	358
AFAP1L1	125
AFAP1L2	259
AFDN	3681
AFF1	454
AFF2	152
AFF3	568
AFF4	376
AFG1L	579
AFG3L2	1285
AFMID	162
AFTPH	700
AGA	445
AGAP1	1413
AGAP2	13
AGAP3	1001
AGBL1	81
AGBL2	257
AGBL5	5287
AGFG1	1119
AGGF1	940
AGK	947
AGL	344
AGMAT	41
AGMO	116
AGO2	363
AGO3	675
AGPAT1	324
AGPAT2	1032
AGPAT3	557
AGPAT4	295
AGPAT5	204
AGPS	1025
AGR2	33
AGR3	1
AGRN	878
AGT	127
AGTPBP1	2096
AGTR1	66
AGTR2	40
AGXT	13
AGXT2	64
AHCY	1326
AHCYL1	740
AHCYL2	3554
AHDC1	242
AHI1	693
AHNAK	525
AHNAK2	479
AHR	133
AHRR	63
AHSA1	5708
AHSA2P	474
AHSG	2292
AICDA	4
AIDA	728
AIF1L	4196
AIFM1	1407
AIFM2	233
AIFM3	136
AIG1	828
AIMP1	1591
AIMP2	4275
AJAP1	310
AJM1	2876
AK1	609
AK2	1658
AK3	133
AK4	145
AK5	29
AK6	336
AK7	4157
AK8	3111
AK9	2712
AKAIN1	6
AKAP1	777
AKAP10	1170
AKAP11	358
AKAP12	3367
AKAP13	2823
AKAP14	1721
AKAP17A	316
AKAP5	232
AKAP6	217
AKAP7	785
AKAP8	601
AKAP8L	322
AKAP9	512
AKIP1	83
AKIRIN2	5392
AKNA	158
AKNAD1	412
AKR1A1	818
AKR1D1	55
AKR7A2	2390
AKT1	719
AKT3	262
ALAD	314
ALAS1	995
ALCAM	133
ALDH16A1	580
ALDH18A1	493
ALDH1A1	5
ALDH1A2	303
ALDH1A3	572
ALDH1L2	131
ALDH2	3608
ALDH3A2	113
ALDH4A1	369
ALDH5A1	538
ALDH6A1	643
ALDH7A1	164
ALDH8A1	97
ALDH9A1	1220
ALDOB	5980
ALDOC	1129
ALG1	248
ALG11	259
ALG12	896
ALG14	254
ALG2	191
ALG3	687
ALG5	219
ALG6	1656
ALG8	1073
ALG9	598
ALK	137
ALKAL1	19
ALKAL2	88
ALKBH1	1610
ALKBH2	202
ALKBH3	890
ALKBH4	506
ALKBH5	9985
ALKBH7	2053
ALKBH8	294
ALMS1	305
ALOX5	382
ALPK1	82
ALPK2	928
ALPK3	542
ALPL	483
ALS2	1441
ALS2CL	465
ALX1	2
ALX3	9
ALX4	28
ALYREF	1458
AMACR	160
AMBRA1	5083
AMD1	690
AMDHD1	69
AMDHD2	1345
AMER1	951
AMER2	1074
AMER3	21
AMFR	5845
AMH	2453
AMHR2	74
AMIGO1	1400
AMIGO2	45
AMIGO3	256
AMMECR1	380
AMMECR1L	632
AMN	55
AMN1	527
AMOT	951
AMOTL1	355
AMOTL2	145
AMPD1	58
AMPD2	212
AMPD3	86
AMPH	87
AMT	271
AMZ1	282
ANAPC1	1633
