A1CF	49
A2M	941
A4GNT	18
AAAS	2687
AACS	787
AADAC	66
AADAT	154
AAGAB	659
AAK1	1666
AAMDC	925
AANAT	109
AAR2	566
AARS1	2337
AARS2	579
AASDH	372
AASDHPPT	975
AASS	60
AATF	1196
AATK	222
ABAT	312
ABCA1	948
ABCA12	179
ABCA13	56
ABCA2	1346
ABCA3	379
ABCA4	134
ABCA5	879
ABCA7	237
ABCB1	127
ABCB10	289
ABCB11	457
ABCB5	65
ABCB6	620
ABCB7	2059
ABCB8	356
ABCB9	532
ABCC10	912
ABCC2	71
ABCC3	70
ABCC4	232
ABCC5	1187
ABCC8	160
ABCC9	455
ABCD2	644
ABCD3	940
ABCD4	633
ABCE1	2635
ABCF1	3461
ABCF2	7333
ABCF3	1760
ABCG1	189
ABCG2	21
ABCG4	18
ABCG5	269
ABCG8	76
ABHD10	536
ABHD12	277
ABHD12B	918
ABHD13	389
ABHD14A	2097
ABHD14B	1160
ABHD15	330
ABHD17A	3468
ABHD17B	580
ABHD17C	311
ABHD18	187
ABHD2	1031
ABHD3	93
ABHD5	198
ABHD6	211
ABHD8	109
ABI1	1060
ABI2	3267
ABI3	14
ABITRAM	537
ABL1	1740
ABL2	513
ABLIM1	2410
ABLIM2	282
ABLIM3	147
ABR	1244
ABRA	187
ABRACL	168
ABRAXAS1	469
ABRAXAS2	398
ABT1	262
ABTB1	1298
ABTB2	1160
ACAA1	515
ACAA2	1887
ACACA	572
ACACB	544
ACAD10	627
ACAD11	570
ACAD8	120
ACAD9	1403
ACADL	1188
ACADM	1738
ACADS	550
ACADSB	409
ACADVL	1813
ACAN	14
ACAP1	346
ACAP2	2450
ACAP3	350
ACAT1	293
ACAT2	243
ACBD3	904
ACBD4	480
ACBD5	682
ACBD6	1036
ACBD7	593
ACCS	917
ACE	29
ACE2	4
ACER1	175
ACER2	45
ACER3	2291
ACHE	8
ACIN1	4849
ACKR2	43
ACKR3	840
ACKR4	108
ACLY	2480
ACMSD	43
ACO1	8203
ACO2	4862
ACOD1	20
ACOT11	313
ACOT12	547
ACOT13	413
ACOT7	6318
ACOT8	533
ACOT9	711
ACOX1	1015
ACOX2	386
ACOX3	1120
ACP1	1389
ACP2	1542
ACP5	92
ACP6	808
ACSBG1	706
ACSBG2	2764
ACSF2	236
ACSF3	346
ACSL1	797
ACSL3	218
ACSL4	550
ACSL5	19
ACSL6	82
ACSS1	148
ACSS2	2484
ACSS3	866
ACTA1	772
ACTA2	5731
ACTB	25137
ACTC1	38
ACTG1	23916
ACTG2	1033
ACTL10	1144
ACTL6A	823
ACTL6B	875
ACTN1	7158
ACTN2	114
ACTN4	1812
ACTR10	5232
ACTR1A	3850
ACTR2	3780
ACTR3	852
ACTR3B	2353
ACTR5	961
ACTR6	1153
ACTR8	833
ACVR1	662
ACVR1B	599
ACVR1C	40
ACVR2A	477
ACVR2B	58
ACVRL1	199
ACYP1	1730
ACYP2	670
ADA	89
ADA2	119
ADAD1	3268
ADAL	162
ADAM10	1040
ADAM11	58
ADAM12	257
ADAM15	243
ADAM17	949
ADAM19	48
ADAM22	20
ADAM23	2091
ADAM28	336
ADAM33	261
ADAM8	8
ADAM9	1014
ADAMTS1	131
ADAMTS10	317
ADAMTS12	43
ADAMTS13	1061
ADAMTS14	288
ADAMTS15	3
ADAMTS17	296
ADAMTS18	62
ADAMTS19	8
ADAMTS2	522
ADAMTS20	18
ADAMTS3	1298
ADAMTS5	210
ADAMTS6	100
ADAMTS7	188
ADAMTS8	63
ADAMTS9	695
ADAMTSL1	135
ADAMTSL2	195
ADAMTSL3	248
ADAMTSL5	106
ADAP1	118
ADAP2	1081
ADAR	2279
ADARB1	740
ADARB2	365
ADAT1	486
ADAT2	527
ADCK1	482
ADCK2	205
ADCY1	181
ADCY2	187
ADCY3	128
ADCY5	518
ADCY6	1007
ADCY7	205
ADCY8	34
ADCY9	1308
ADCYAP1	89
ADCYAP1R1	20
ADD1	4513
ADD2	38
ADD3	2624
ADGB	904
ADGRA1	195
ADGRA2	200
ADGRA3	632
ADGRB1	265
ADGRB2	18
ADGRB3	310
ADGRD1	548
ADGRD2	93
ADGRF4	18
ADGRF5	87
ADGRG1	579
ADGRG2	1102
ADGRG3	32
ADGRG4	141
ADGRG6	265
ADGRL2	349
