A1CF	169
A2M	3466
A4GNT	173
AAAS	3149
AACS	5815
AADAC	177
AADAT	484
AAGAB	1500
AAK1	5453
AAMDC	880
AANAT	138
AAR2	977
AARS1	4423
AARS2	1412
AASDH	1398
AASDHPPT	2168
AASS	206
AATF	1975
AATK	248
ABAT	3706
ABCA1	2244
ABCA12	449
ABCA13	657
ABCA2	2030
ABCA3	2343
ABCA4	147
ABCA5	4390
ABCA7	452
ABCB1	478
ABCB10	522
ABCB11	312
ABCB5	693
ABCB6	620
ABCB7	3720
ABCB8	1458
ABCB9	926
ABCC10	1842
ABCC2	241
ABCC3	602
ABCC4	1276
ABCC5	4710
ABCC8	410
ABCC9	1940
ABCD2	1189
ABCD3	2378
ABCD4	1378
ABCE1	5152
ABCF1	3106
ABCF2	4485
ABCF3	3802
ABCG1	621
ABCG2	59
ABCG4	8
ABCG5	23
ABCG8	26
ABHD10	1402
ABHD12	2210
ABHD12B	719
ABHD13	1286
ABHD14A	878
ABHD14B	1499
ABHD15	464
ABHD17A	4855
ABHD17B	923
ABHD17C	2440
ABHD18	859
ABHD2	8407
ABHD3	1013
ABHD5	280
ABHD6	4381
ABHD8	50
ABI1	6866
ABI2	6795
ABI3	17
ABITRAM	817
ABL1	2353
ABL2	1356
ABLIM1	6654
ABLIM2	396
ABLIM3	361
ABR	4498
ABRA	14
ABRACL	898
ABRAXAS1	1610
ABRAXAS2	1762
ABT1	680
ABTB1	2578
ABTB2	3872
ACAA1	2030
ACAA2	4090
ACACA	1409
ACACB	4058
ACAD10	313
ACAD11	2453
ACAD8	848
ACAD9	3389
ACADL	5262
ACADM	3197
ACADS	1220
ACADSB	1150
ACADVL	1206
ACAN	50
ACAP1	451
ACAP2	3000
ACAP3	272
ACAT1	2369
ACAT2	1538
ACBD3	5735
ACBD4	294
ACBD5	2253
ACBD6	1989
ACBD7	1297
ACCS	614
ACE	285
ACE2	220
ACER1	30
ACER2	37
ACER3	1210
ACHE	77
ACIN1	3934
ACKR2	109
ACKR3	903
ACKR4	246
ACLY	10266
ACMSD	158
ACO1	2956
ACO2	10764
ACOD1	323
ACOT11	1283
ACOT12	156
ACOT13	1375
ACOT7	1794
ACOT8	990
ACOT9	2064
ACOX1	5005
ACOX2	861
ACOX3	1493
ACP1	3626
ACP2	1728
ACP5	2027
ACP6	816
ACSBG1	1653
ACSBG2	2902
ACSF2	5441
ACSF3	2133
ACSL1	6622
ACSL3	1354
ACSL4	5561
ACSL5	459
ACSL6	829
ACSS1	1121
ACSS2	2487
ACSS3	1770
ACTA1	1036
ACTA2	8402
ACTB	181789
ACTC1	203
ACTG1	38777
ACTG2	1590
ACTL10	1
ACTL6A	2173
ACTL6B	240
ACTN1	6350
ACTN2	270
ACTN4	6136
ACTR10	3940
ACTR1A	6844
ACTR2	5337
ACTR3	8219
ACTR3B	1504
ACTR5	1636
ACTR6	3897
ACTR8	1264
ACVR1	1466
ACVR1B	704
ACVR1C	13
ACVR2A	2317
ACVR2B	149
ACVRL1	602
ACYP1	1050
ACYP2	1584
ADA	1087
ADA2	697
ADAD1	1516
ADAL	1195
ADAM10	2375
ADAM11	178
ADAM12	379
ADAM15	777
ADAM17	3370
ADAM19	699
ADAM22	482
ADAM23	1031
ADAM28	109
ADAM33	1715
ADAM8	146
ADAM9	4784
ADAMTS1	783
ADAMTS10	2908
ADAMTS12	638
ADAMTS13	1818
ADAMTS14	2288
ADAMTS15	696
ADAMTS17	973
ADAMTS18	817
ADAMTS19	30
ADAMTS2	1169
ADAMTS20	123
ADAMTS3	881
ADAMTS5	970
ADAMTS6	269
ADAMTS7	862
ADAMTS8	166
ADAMTS9	2323
ADAMTSL1	129
ADAMTSL2	213
ADAMTSL3	993
ADAMTSL5	110
ADAP1	520
ADAP2	66
ADAR	4189
ADARB1	1303
ADARB2	381
ADAT1	907
ADAT2	824
ADCK1	739
ADCK2	921
ADCY1	226
ADCY2	515
ADCY3	409
ADCY5	877
ADCY6	2657
ADCY7	1040
ADCY8	39
ADCY9	4122
ADCYAP1	115
ADCYAP1R1	122
ADD1	4793
ADD2	359
ADD3	1595
ADGB	1235
ADGRA1	377
ADGRA2	1369
ADGRA3	2315
ADGRB1	132
ADGRB2	6
ADGRB3	1299
ADGRD1	1415
ADGRD2	33
ADGRF4	15
ADGRF5	415
ADGRG1	7823
ADGRG2	217
